acceleration,aggression,agility,balance,ball,composure,crossing,curve,defending,diving,dribbling,finishing,fk,handling,heading,interceptions,jumping,kicking,long,marking,pace,passing,penalties,physicality,player_id,positioning,raits,reactions,reflexes,shooting,short,shot,sliding,specialities,speed,sprint,stamina,standing,strength,vision,volleys,cam,cb,cdm,cf,cm,lb,lf,lm,lw,lwb,rb,rf,rm,rw,rwb,st,added_on,age,att_workrate,club,def_workrate,foot,height,intl_reputation,league,name,nation,origin,revision,skills,weak_foot,weight,colour,front_scores,overall_score,position,rareness
82,73,83,79,91,0,88,76,38,0,92,78,83,0,64,37,66,0,85,27,83,86,83,75,16,87,"['Shooting - Finesse Shot', 'Flair', 'Takes Finesse Style Free Kicks']",83,0,81,88,81,38,['Dribbler'],0,83,85,41,72,86,79,87,54,65,86,82,63,86,87,87,68,63,86,87,87,68,82,2016-09-21,44,High,Legends,Low,Right,180,0,Legends,Luís Figo,Portugal,N\A,Legend,4,4,75,gold,"{'PHY': '75', 'DEF': '38', 'DRI': '90', 'PAS': '86', 'SHO': '81', 'PAC': '83'}",90,Figo,rare
86,68,74,80,77,0,56,74,33,0,74,94,72,0,91,27,75,0,58,16,84,68,90,76,17,93,['Selfish'],92,0,89,74,89,33,"['Aerial Threat', 'Poacher']",0,82,77,34,79,75,94,79,52,55,83,71,56,83,77,79,57,56,83,77,79,57,87,2016-09-21,40,Med,Legends,Low,Right,188,0,Legends,van Nistelrooy,Netherlands,N\A,Legend,3,3,80,gold,"{'PHY': '76', 'DEF': '33', 'DRI': '76', 'PAS': '68', 'SHO': '89', 'PAC': '84'}",90,Nistelrooy,rare
66,91,54,65,67,0,57,52,91,0,49,35,50,0,88,93,82,0,71,91,68,65,55,91,18,43,"['Power Header', 'Ultimate Professional']",91,0,45,76,70,89,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,70,83,90,95,57,37,61,89,83,60,69,82,60,63,58,79,82,60,63,58,79,62,2016-09-21,39,Med,Legends,High,Right,178,0,Legends,Puyol,Spain,N\A,Legend,2,3,80,gold,"{'PHY': '91', 'DEF': '91', 'DRI': '58', 'PAS': '65', 'SHO': '45', 'PAC': '68'}",90,CB,rare
53,51,49,47,41,0,46,34,0,88,32,41,35,82,56,38,77,93,43,21,0,0,44,0,23,85,"['Leadership', 'Pushes Up For Corners']",88,83,0,54,47,29,['None'],53,46,72,24,78,41,31,45,44,45,45,47,45,45,47,45,46,45,45,47,45,46,48,2016-09-21,53,Med,Legends,Med,Right,193,0,Legends,Schmeichel,Denmark,N\A,Legend,1,3,92,gold,"{'POS': '85', 'SPE': '53', 'REF': '93', 'KIC': '83', 'HAN': '82', 'DIV': '88'}",90,GK,rare
92,51,86,88,85,0,74,79,36,0,87,94,77,0,81,45,81,0,62,21,91,78,85,65,24,90,"['Tries To Beat Defensive Line', 'Shooting - Finesse Shot']",91,0,88,83,84,30,"['Speedster', 'Dribbler', 'Acrobat', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,91,82,33,60,83,87,86,51,60,87,78,61,87,85,87,65,61,87,85,87,65,87,2016-09-21,53,Med,Legends,Low,Right,170,0,Legends,Butragueño,Spain,N\A,Legend,3,4,68,gold,"{'PHY': '65', 'DEF': '36', 'DRI': '87', 'PAS': '78', 'SHO': '88', 'PAC': '91'}",90,ST,rare
85,67,78,83,87,0,87,91,79,0,86,80,93,0,85,77,82,0,89,79,86,89,85,82,26,84,"['Power Header', 'Takes Finesse Style Free Kicks']",90,0,83,89,86,77,"['Dribbler', 'Play Maker', 'Crosser', 'FK Specialist', 'Strength', 'Midfielder']",0,87,88,80,86,90,86,87,81,83,86,87,83,86,87,86,84,83,86,87,86,84,85,2016-09-21,54,High,Legends,Med,Right,190,0,Legends,Gullit,Netherlands,N\A,Legend,4,4,88,gold,"{'PHY': '82', 'DEF': '79', 'DRI': '86', 'PAS': '89', 'SHO': '83', 'PAC': '86'}",90,CM,rare
91,56,90,90,93,0,81,79,59,0,96,93,71,0,85,63,77,0,81,57,90,81,85,68,27,87,"['Flair', 'Technical Dribbler']",83,0,89,82,86,49,"['Speedster', 'Dribbler', 'Acrobat', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,89,83,53,64,84,87,88,65,71,89,83,72,89,88,89,74,72,89,88,89,74,88,2016-09-21,71,Med,Legends,Med,Right,175,0,Legends,Best,Northern Ireland,N\A,Legend,4,4,65,gold,"{'PHY': '68', 'DEF': '59', 'DRI': '94', 'PAS': '81', 'SHO': '89', 'PAC': '90'}",90,RW,rare
81,78,71,71,79,0,77,81,50,0,74,92,86,0,92,44,88,0,63,21,78,77,94,84,28,90,"['Takes Powerful Driven Free Kicks', 'Power Header', 'Target Forward']",85,0,90,82,91,55,"['Aerial Threat', 'FK Specialist', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,75,84,67,85,76,90,80,64,66,83,76,67,83,80,81,68,67,83,80,81,68,86,2016-09-21,46,High,Legends,Med,Right,182,0,Legends,Shearer,England,N\A,Legend,3,3,78,gold,"{'PHY': '84', 'DEF': '50', 'DRI': '76', 'PAS': '77', 'SHO': '90', 'PAC': '78'}",89,ST,rare
91,60,81,78,87,0,92,92,41,0,92,78,84,0,60,47,63,0,88,26,90,87,90,67,29,82,"['Ultimate Professional', 'Technical Dribbler', 'Takes Finesse Style Free Kicks']",76,0,78,86,76,51,"['Speedster', 'Dribbler', 'Crosser']",0,89,84,43,62,83,82,85,54,65,83,81,66,83,86,86,70,66,83,86,86,70,79,2016-09-21,43,Med,Legends,Med,Left,179,0,Legends,Giggs,Wales,N\A,Legend,3,2,71,gold,"{'PHY': '67', 'DEF': '41', 'DRI': '88', 'PAS': '87', 'SHO': '78', 'PAC': '90'}",89,LM,rare
69,88,70,86,87,0,86,76,64,0,73,79,67,0,76,83,76,0,94,62,69,89,79,79,30,87,"['Dives Into Tackles', 'Passing - Long Passer', 'Shooting - Long Shot Taker', 'Playmaker', 'Ultimate Professional']",86,0,85,91,92,42,"['Play Maker', 'Distance Shooter']",0,69,89,57,71,94,86,85,70,79,83,87,73,83,83,82,75,73,83,83,82,75,82,2016-09-21,42,High,Legends,Med,Right,171,0,Legends,Scholes,England,N\A,Legend,3,3,71,gold,"{'PHY': '79', 'DEF': '64', 'DRI': '78', 'PAS': '89', 'SHO': '85', 'PAC': '69'}",89,CM,rare
81,92,61,60,73,0,45,49,88,0,62,38,41,0,88,88,83,0,71,90,82,64,55,88,31,51,"['Dives Into Tackles', 'Power Header']",84,0,51,72,73,85,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,82,80,87,91,72,51,67,87,81,66,72,80,66,67,64,77,80,66,67,64,77,66,2016-09-21,48,Low,Legends,High,Right,183,0,Legends,Desailly,France,N\A,Legend,2,3,85,gold,"{'PHY': '88', 'DEF': '88', 'DRI': '66', 'PAS': '64', 'SHO': '51', 'PAC': '82'}",89,CB,rare
69,71,81,82,67,0,52,63,91,0,57,27,34,0,90,88,93,0,61,93,73,57,54,81,32,36,['Leadership'],89,0,39,67,55,86,"['Aerial Threat', 'Tackler', 'Tactician', 'Complete Defender']",0,77,74,93,87,46,39,58,86,78,57,64,80,57,60,58,76,80,57,60,58,76,58,2016-09-21,43,Low,Legends,High,Right,176,0,Legends,Cannavaro,Italy,N\A,Legend,2,3,75,gold,"{'PHY': '81', 'DEF': '91', 'DRI': '65', 'PAS': '57', 'SHO': '39', 'PAC': '73'}",89,CB,rare
85,87,81,78,88,0,84,81,46,0,88,77,83,0,51,25,73,0,82,48,83,85,83,80,33,85,"['Takes Powerful Driven Free Kicks', 'Shooting - Long Shot Taker', 'Playmaker', 'Corner Specialist']",86,0,83,88,87,55,"['Dribbler', 'Distance Shooter']",0,82,90,54,73,85,80,86,59,68,85,82,66,85,86,85,70,66,85,86,85,70,80,2016-09-21,44,High,Legends,Med,Right,177,0,Legends,Nedved,Czech Republic,N\A,Legend,3,5,70,gold,"{'PHY': '80', 'DEF': '46', 'DRI': '87', 'PAS': '85', 'SHO': '83', 'PAC': '83'}",89,LM,rare
40,14,42,45,22,0,14,12,0,84,9,8,11,86,12,31,75,87,27,8,0,0,24,0,34,92,"['Long Thrower', 'Comes for Crosses']",77,80,0,27,29,8,['None'],40,41,36,8,77,30,12,26,26,28,25,27,25,25,26,24,26,25,25,26,24,26,26,2016-09-21,46,Med,Legends,Med,Right,197,0,Legends,van der Sar,Netherlands,N\A,Legend,1,3,83,gold,"{'POS': '92', 'SPE': '40', 'REF': '87', 'KIC': '80', 'HAN': '86', 'DIV': '84', 'GK': 'Sar'}",89,der,rare
70,73,54,61,71,0,66,55,89,0,76,54,60,0,92,91,91,0,88,89,70,70,70,83,37,66,"['Leadership', 'Power Header', 'Ultimate Professional']",84,0,67,74,82,85,"['Aerial Threat', 'Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,70,78,88,88,60,77,70,86,82,71,76,81,71,71,69,79,81,71,71,69,79,73,2016-09-21,49,Med,Legends,High,Right,187,0,Legends,Fernando Hierro,Spain,N\A,Legend,2,3,84,gold,"{'PHY': '83', 'DEF': '89', 'DRI': '72', 'PAS': '70', 'SHO': '67', 'PAC': '70'}",89,Hierro,rare
93,63,87,80,84,0,70,73,44,0,86,90,91,0,84,61,89,0,60,30,93,77,87,81,38,83,['Dribbler - Speed Dribbler'],85,0,87,79,89,30,"['Speedster', 'Dribbler', 'FK Specialist', 'Acrobat', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,93,86,39,84,89,82,84,59,64,86,78,64,86,83,85,67,64,86,83,85,67,86,2016-09-21,50,High,Legends,Low,Right,184,0,Legends,Weah,Liberia,N\A,Legend,4,3,76,gold,"{'PHY': '81', 'DEF': '44', 'DRI': '85', 'PAS': '77', 'SHO': '87', 'PAC': '93'}",89,ST,rare
84,55,81,74,88,0,90,86,42,0,86,83,92,0,55,44,77,0,88,34,84,88,91,66,40,85,"['Flair', 'Shooting - Long Shot Taker', 'Playmaker', 'Shooting - Chip Shot']",85,0,85,88,83,41,"['Dribbler', 'Play Maker', 'Crosser', 'FK Specialist', 'Midfielder']",0,84,83,46,60,88,84,86,54,66,85,83,65,85,86,86,69,65,85,86,86,69,81,2016-09-21,52,Med,Legends,Low,Left,172,0,Legends,Hagi,Romania,N\A,Legend,4,4,68,gold,"{'PHY': '66', 'DEF': '42', 'DRI': '85', 'PAS': '88', 'SHO': '85', 'PAC': '84'}",89,CAM,rare
72,81,83,81,82,0,71,71,90,0,65,53,65,0,86,92,84,0,86,91,71,79,74,84,43,61,"['Leadership', 'Ultimate Professional']",89,0,62,82,76,89,"['Tackler', 'Tactician']",0,70,92,90,81,82,63,75,87,87,72,81,85,72,75,72,84,85,72,75,72,84,71,2016-09-21,76,Med,Legends,Med,Right,178,0,Legends,Moore,England,N\A,Legend,2,3,72,gold,"{'PHY': '84', 'DEF': '90', 'DRI': '74', 'PAS': '79', 'SHO': '62', 'PAC': '71'}",89,CB,rare
88,65,81,79,83,0,60,61,28,0,78,92,63,0,84,39,78,0,62,16,86,69,83,75,45,91,['Ultimate Professional'],91,0,87,78,83,18,['Poacher'],0,84,83,19,74,72,87,81,48,56,84,73,55,84,80,81,58,55,84,80,81,58,86,2016-09-21,56,High,Legends,Med,Right,177,0,Legends,Lineker,England,N\A,Legend,3,3,74,gold,"{'PHY': '75', 'DEF': '28', 'DRI': '80', 'PAS': '69', 'SHO': '87', 'PAC': '86'}",89,ST,rare
86,42,89,73,87,0,87,83,38,0,92,71,78,0,69,37,65,0,81,30,85,87,80,64,46,84,"['Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler']",86,0,73,88,76,28,"['Dribbler', 'Play Maker', 'Crosser', 'Acrobat', 'Midfielder']",0,84,78,38,65,91,75,86,50,62,84,80,61,84,86,85,66,61,84,86,85,66,79,2016-09-21,53,High,Legends,Med,Right,183,0,Legends,Laudrup,Denmark,N\A,Legend,4,3,78,gold,"{'PHY': '64', 'DEF': '38', 'DRI': '89', 'PAS': '87', 'SHO': '73', 'PAC': '85'}",89,CAM,rare
79,84,74,72,84,0,56,62,90,0,75,61,70,0,83,88,79,0,81,91,80,69,91,84,47,60,"['Leadership', 'Ultimate Professional']",85,0,65,79,76,87,"['Tackler', 'Tactician']",0,81,90,92,82,58,68,73,86,85,73,77,84,73,74,72,82,84,73,74,72,82,73,2016-09-21,51,Med,Legends,High,Right,190,0,Legends,Blanc,France,N\A,Legend,2,3,82,gold,"{'PHY': '84', 'DEF': '90', 'DRI': '78', 'PAS': '69', 'SHO': '65', 'PAC': '80'}",89,CB,rare
50,30,37,40,24,0,11,18,0,78,9,8,19,90,9,16,57,85,21,8,0,0,20,0,49,88,"['Puncher', 'Long Thrower']",81,93,0,22,21,9,['None'],50,54,33,8,82,20,8,25,26,25,25,24,25,25,26,25,25,25,25,26,25,25,26,2016-09-21,53,Med,Legends,Med,Right,193,0,Legends,Seaman,England,N\A,Legend,1,3,93,gold,"{'POS': '88', 'SPE': '50', 'REF': '85', 'KIC': '93', 'HAN': '90', 'DIV': '78'}",88,GK,rare
69,95,72,77,84,0,67,68,86,0,75,62,71,0,75,89,79,0,85,84,71,81,70,90,51,78,"['Injury Prone', 'Leadership']",88,0,71,89,81,82,['Tactician'],0,72,92,90,89,82,66,80,86,88,78,85,83,78,79,77,83,83,78,79,77,83,77,2016-09-21,45,Med,Legends,High,Right,180,0,Legends,Keane,Republic of Ireland,N\A,Legend,2,3,76,gold,"{'PHY': '90', 'DEF': '86', 'DRI': '78', 'PAS': '81', 'SHO': '71', 'PAC': '71'}",88,CM,rare
59,78,43,41,22,0,11,8,0,86,9,10,10,85,33,23,72,85,13,9,0,0,26,0,52,88,"['Pushes Up For Corners', 'Long Thrower']",86,82,0,27,44,8,['None'],59,54,39,9,82,18,17,26,33,29,28,25,28,28,27,27,28,28,28,27,27,28,32,2016-09-21,47,Med,Legends,Med,Right,190,0,Legends,Lehmann,Germany,N\A,Legend,1,3,88,gold,"{'POS': '88', 'SPE': '59', 'REF': '85', 'KIC': '82', 'HAN': '85', 'DIV': '86'}",88,GK,rare
81,51,81,80,89,0,86,86,43,0,85,75,91,0,48,64,79,0,85,32,84,86,84,76,53,86,"['Flair', 'Shooting - Long Shot Taker', 'Playmaker']",85,0,80,86,85,41,"['Play Maker', 'Crosser', 'FK Specialist', 'Midfielder']",0,86,86,40,81,88,82,85,56,69,84,83,66,84,85,85,71,66,84,85,85,71,80,2016-09-21,45,Med,Legends,Low,Right,180,0,Legends,Rui Costa,Portugal,N\A,Legend,4,4,74,gold,"{'PHY': '76', 'DEF': '43', 'DRI': '86', 'PAS': '86', 'SHO': '80', 'PAC': '84'}",88,Costa,rare
93,83,74,85,85,0,86,91,82,0,75,74,93,0,74,87,83,0,82,79,91,84,79,85,54,66,"['Long Throw', 'Takes Powerful Driven Free Kicks', 'Avoids Using Weaker Foot', 'Shooting - Long Shot Taker']",87,0,81,85,94,86,"['Speedster', 'Distance Shooter', 'Crosser', 'FK Specialist', 'Tactician']",0,90,88,84,84,80,76,81,83,84,81,82,86,81,82,81,86,86,81,82,81,86,80,2016-09-21,44,High,Legends,High,Left,168,0,Legends,Roberto Carlos,Brazil,N\A,Legend,3,2,70,gold,"{'PHY': '85', 'DEF': '82', 'DRI': '79', 'PAS': '84', 'SHO': '81', 'PAC': '91'}",88,Carlos,rare
84,84,75,90,91,0,87,60,85,0,81,62,50,0,76,86,49,0,88,84,86,84,69,80,55,80,['Ultimate Professional'],90,0,63,89,75,86,"['Tackler', 'Tactician']",0,87,90,88,77,82,60,82,83,87,81,85,87,81,85,82,87,87,81,85,82,87,77,2016-09-21,43,High,Legends,High,Right,178,0,Legends,Zanetti,Argentina,N\A,Legend,2,4,75,gold,"{'PHY': '80', 'DEF': '85', 'DRI': '84', 'PAS': '84', 'SHO': '63', 'PAC': '86'}",88,RB,rare
86,94,74,71,85,0,62,65,85,0,83,70,56,0,80,91,81,0,84,82,84,79,73,91,57,77,"['Injury Prone', 'Leadership', 'Power Header']",87,0,71,86,75,82,"['Play Maker', 'Tactician', 'Strength']",0,82,89,88,91,88,62,82,86,87,81,85,84,81,81,80,83,84,81,81,80,83,79,2016-09-21,40,Med,Legends,High,Right,192,0,Legends,Vieira,France,N\A,Legend,3,3,82,gold,"{'PHY': '91', 'DEF': '85', 'DRI': '82', 'PAS': '79', 'SHO': '71', 'PAC': '84'}",88,CM,rare
85,46,80,81,89,0,86,87,35,0,86,77,82,0,51,46,79,0,82,32,86,86,81,62,58,85,"['Shooting - Finesse Shot', 'Technical Dribbler', 'Corner Specialist']",82,0,79,88,79,24,"['Dribbler', 'Crosser']",0,86,77,28,60,88,78,85,48,62,84,80,60,84,85,85,65,60,84,85,85,65,78,2016-09-21,43,Med,Legends,Med,Right,185,0,Legends,Pirès,France,N\A,Legend,4,4,74,gold,"{'PHY': '62', 'DEF': '35', 'DRI': '86', 'PAS': '86', 'SHO': '79', 'PAC': '86'}",88,LM,rare
90,56,84,84,84,0,66,71,22,0,88,90,65,0,79,20,82,0,47,11,89,67,82,64,59,90,"['Injury Prone', 'Tries To Beat Defensive Line', 'Shooting - Finesse Shot', 'Dribbler - Speed Dribbler']",90,0,85,73,84,10,"['Dribbler', 'Poacher']",0,89,78,21,58,72,88,81,42,49,85,70,51,85,81,83,55,51,85,81,83,55,85,2016-09-21,37,Med,Legends,Med,Right,173,0,Legends,Owen,England,N\A,Legend,3,4,70,gold,"{'PHY': '64', 'DEF': '22', 'DRI': '86', 'PAS': '67', 'SHO': '85', 'PAC': '89'}",88,ST,rare
81,22,78,72,86,0,76,84,32,0,79,89,79,0,72,42,63,0,75,26,82,83,87,64,60,94,"['Injury Prone', 'Ultimate Professional', 'Takes Finesse Style Free Kicks']",88,0,87,88,82,20,"['Play Maker', 'Clinical Finisher']",0,83,87,23,69,86,90,86,46,59,86,80,58,86,84,85,63,58,86,84,85,63,84,2016-09-21,46,High,Legends,Med,Right,181,0,Legends,Litmanen,Finland,N\A,Legend,3,4,76,gold,"{'PHY': '64', 'DEF': '32', 'DRI': '81', 'PAS': '83', 'SHO': '87', 'PAC': '82'}",88,CAM,rare
86,76,76,75,85,0,67,73,41,0,81,87,78,0,88,39,90,0,78,38,86,80,85,81,61,90,"['Flair', 'Power Header', 'Chip Shot', 'Target Forward']",88,0,86,86,89,41,"['Clinical Finisher', 'Poacher']",0,86,81,29,82,84,82,85,58,64,86,79,62,86,83,83,65,62,86,83,83,65,86,2016-09-21,40,High,Legends,Low,Right,188,0,Legends,Kluivert,Netherlands,N\A,Legend,4,4,81,gold,"{'PHY': '81', 'DEF': '41', 'DRI': '82', 'PAS': '80', 'SHO': '86', 'PAC': '86'}",88,ST,rare
96,57,89,92,85,0,83,83,47,0,89,76,67,0,54,44,62,0,66,52,94,78,69,66,62,88,"['Tries To Beat Defensive Line', 'Dribbler - Speed Dribbler']",93,0,80,78,83,32,"['Speedster', 'Dribbler', 'Acrobat']",0,93,90,46,58,81,78,84,55,64,85,78,66,85,85,86,70,66,85,85,86,70,80,2016-09-21,44,High,Legends,Med,Left,173,0,Legends,Overmars,Netherlands,N\A,Legend,3,5,72,gold,"{'PHY': '66', 'DEF': '47', 'DRI': '88', 'PAS': '78', 'SHO': '80', 'PAC': '94'}",88,LM,rare
79,86,63,53,76,0,54,54,90,0,61,45,32,0,85,91,81,0,77,89,81,65,61,86,63,46,['Power Header'],86,0,48,78,65,87,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,83,79,92,89,57,57,65,87,83,65,71,82,65,68,64,80,82,65,68,64,80,66,2016-09-21,38,Med,Legends,Med,Right,193,0,Legends,Ferdinand,England,N\A,Legend,3,3,86,gold,"{'PHY': '86', 'DEF': '90', 'DRI': '67', 'PAS': '65', 'SHO': '48', 'PAC': '81'}",88,CB,rare
72,89,70,70,91,0,82,85,75,0,83,73,86,0,69,83,66,0,87,78,71,87,91,82,64,84,"['Shooting - Long Shot Taker', 'Playmaker', 'Chip Shot']",86,0,82,91,95,67,"['Play Maker', 'Distance Shooter', 'FK Specialist', 'Midfielder']",0,71,84,70,79,88,74,85,77,83,84,86,78,84,84,83,80,78,84,84,83,80,81,2016-09-21,42,Med,Legends,Med,Right,182,0,Legends,Verón,Argentina,N\A,Legend,3,4,79,gold,"{'PHY': '82', 'DEF': '75', 'DRI': '84', 'PAS': '87', 'SHO': '82', 'PAC': '71'}",88,CM,rare
81,62,79,78,85,0,63,90,33,0,85,88,90,0,80,38,78,0,65,24,84,71,86,73,65,87,"['Takes Powerful Driven Free Kicks', 'Shooting - Finesse Shot', 'Shooting - Long Shot Taker', 'Dribbler - Speed Dribbler']",86,0,87,71,89,22,"['FK Specialist', 'Clinical Finisher', 'Poacher']",0,86,74,27,77,76,86,81,50,56,84,73,55,84,79,81,58,55,84,79,81,58,85,2016-09-21,40,High,Legends,High,Right,183,0,Legends,Shevchenko,Ukraine,N\A,Legend,3,4,72,gold,"{'PHY': '73', 'DEF': '33', 'DRI': '84', 'PAS': '71', 'SHO': '87', 'PAC': '84'}",88,ST,rare
